#chrom	copy	start	end	origin
chrI	1	0	500000	S_cerevisiae
chrI	1	500000	800000	S_paradoxus
chrI	1	800000	1292201	S_cerevisiae
chrI	2	0	600000	S_kudriavzevii
chrI	2	600000	900000	unknown
chrI	2	900000	1163801	S_cerevisiae
chrII	1	0	400000	S_cerevisiae
chrII	1	400000	806526	S_uvarum
chrII	2	0	300000	S_paradoxus
chrII	2	300000	600000	S_cerevisiae
chrII	2	600000	819184	S_kudriavzevii
chrIII	1	0	500000	S_cerevisiae
chrIII	1	500000	750000	S_paradoxus
chrIII	1	750000	1007622	S_uvarum
chrIV	1	0	250000	S_cerevisiae
chrIV	1	250000	500000	S_paradoxus
chrIV	2	0	200000	S_uvarum
chrIV	2	200000	480000	S_cerevisiae
