#chrom	copy	start	end	origin
chrI	1	0	100000	S_cerevisiae
chrI	1	100000	217795	S_bayanus
chrI	2	0	80000	S_bayanus
chrI	2	80000	150000	S_cerevisiae
chrI	2	150000	208383	S_bayanus
chrII	1	0	300000	S_cerevisiae
chrII	1	300000	550000	S_paradoxus
chrII	1	550000	800000	S_cerevisiae
chrII	1	800000	1000000	S_bayanus
chrII	1	1000000	1292201	S_cerevisiae
chrII	2	0	200000	S_bayanus
chrII	2	200000	450000	S_cerevisiae
chrII	2	450000	700000	S_paradoxus
chrII	2	700000	900000	unknown
chrII	2	900000	1163801	S_cerevisiae
chrIII	1	0	150000	S_cerevisiae
chrIII	1	150000	306526	S_bayanus
chrIII	2	0	100000	S_bayanus
chrIII	2	100000	200000	S_cerevisiae
chrIII	2	200000	319184	S_paradoxus
chrIV	1	0	250000	S_cerevisiae
chrIV	1	250000	500000	S_bayanus
chrIV	1	500000	750000	S_paradoxus
chrIV	1	750000	1007622	S_cerevisiae
chrIV	2	0	300000	S_bayanus
chrIV	2	300000	600000	S_cerevisiae
chrIV	2	600000	800000	S_paradoxus
chrIV	2	800000	1000830	S_bayanus
chrV	1	0	200000	S_cerevisiae
chrV	1	200000	400000	S_bayanus
chrV	1	400000	601693	S_cerevisiae
chrV	2	0	150000	S_bayanus
chrV	2	150000	350000	S_cerevisiae
chrV	2	350000	500000	S_paradoxus
chrV	2	500000	581353	S_bayanus
chrVI	1	0	200000	S_cerevisiae
chrVI	1	200000	350000	S_bayanus
chrVI	1	350000	544124	S_cerevisiae
chrVI	2	0	100000	S_bayanus
chrVI	2	100000	200000	S_cerevisiae
chrVI	2	200000	266821	S_paradoxus
chrVII	1	0	300000	S_cerevisiae
chrVII	1	300000	550000	S_paradoxus
chrVII	1	550000	800000	S_bayanus
chrVII	1	800000	1055917	S_cerevisiae
chrVII	2	0	250000	S_bayanus
chrVII	2	250000	500000	S_cerevisiae
chrVII	2	500000	750000	S_paradoxus
chrVII	2	750000	1042311	S_cerevisiae
chrVIII	1	0	200000	S_cerevisiae
chrVIII	1	200000	400000	S_bayanus
chrVIII	1	400000	600000	S_cerevisiae
chrVIII	1	600000	817384	S_paradoxus
chrVIII	2	0	250000	S_bayanus
chrVIII	2	250000	500000	S_cerevisiae
chrVIII	2	500000	700000	S_paradoxus
chrVIII	2	700000	817171	S_cerevisiae
chrIX	1	0	150000	S_cerevisiae
chrIX	1	150000	300000	S_bayanus
chrIX	1	300000	433831	S_cerevisiae
chrIX	2	0	100000	S_bayanus
chrIX	2	100000	250000	S_cerevisiae
chrIX	2	250000	370629	S_paradoxus
chrX	1	0	150000	S_cerevisiae
chrX	1	150000	300000	S_paradoxus
chrX	1	300000	488404	S_bayanus
chrX	2	0	200000	S_bayanus
chrX	2	200000	400000	S_cerevisiae
chrX	2	400000	550000	S_paradoxus
chrX	2	550000	732591	S_cerevisiae
chrXI	1	0	200000	S_cerevisiae
chrXI	1	200000	400000	S_bayanus
chrXI	1	400000	646725	S_cerevisiae
chrXI	2	0	150000	S_bayanus
chrXI	2	150000	350000	S_cerevisiae
chrXI	2	350000	500000	S_paradoxus
chrXI	2	500000	646334	S_cerevisiae
chrXII	1	0	300000	S_cerevisiae
chrXII	1	300000	550000	S_bayanus
chrXII	1	550000	800000	S_paradoxus
chrXII	1	800000	1096630	S_cerevisiae
chrXII	2	0	250000	S_bayanus
chrXII	2	250000	500000	S_cerevisiae
chrXII	2	500000	750000	S_paradoxus
chrXII	2	750000	1057074	S_cerevisiae
chrXIII	1	0	250000	S_cerevisiae
chrXIII	1	250000	500000	S_bayanus
chrXIII	1	500000	700000	S_cerevisiae
chrXIII	1	700000	959152	S_paradoxus
chrXIII	2	0	200000	S_bayanus
chrXIII	2	200000	450000	S_cerevisiae
chrXIII	2	450000	700000	S_paradoxus
chrXIII	2	700000	958029	S_cerevisiae
chrXIV	1	0	200000	S_cerevisiae
chrXIV	1	200000	400000	S_bayanus
chrXIV	1	400000	664155	S_cerevisiae
chrXIV	2	0	250000	S_bayanus
chrXIV	2	250000	500000	S_cerevisiae
chrXIV	2	500000	650000	S_paradoxus
chrXIV	2	650000	791919	S_cerevisiae
chrXV	1	0	200000	S_cerevisiae
chrXV	1	200000	400000	S_paradoxus
chrXV	1	400000	600000	S_bayanus
chrXV	1	600000	784543	S_cerevisiae
chrXV	2	0	250000	S_bayanus
chrXV	2	250000	500000	S_cerevisiae
chrXV	2	500000	778848	S_paradoxus
chrXVI	1	0	250000	S_cerevisiae
chrXVI	1	250000	500000	S_bayanus
chrXVI	1	500000	700000	S_cerevisiae
chrXVI	1	700000	912922	S_paradoxus
chrXVI	2	0	300000	S_bayanus
chrXVI	2	300000	550000	S_cerevisiae
chrXVI	2	550000	750000	S_paradoxus
chrXVI	2	750000	919249	S_cerevisiae
